education,experience,industry,skills,jobtitle,location,salary_range,work_hours,company_size,job_type
Master,12,Retail,HTML/CSS,Recruitment / Staffing,Berlin,"$50,000 - $70,000",Full-time,Enterprise (10000+ employees),Manager
PhD,17,Ecommerce,C++,Media / Entertainment / Internet,San Francisco,"$50,000 - $70,000",Remote,Enterprise (10000+ employees),Manager
PhD,15,Hospitality,Java,Hospitality / Tourism,Toronto,"$130,000 - $150,000",Contract,Medium (51-500 employees),Engineer
High School,11,Media,C++,IT-Software / Software Services,Sydney,"$110,000 - $130,000",Contract,Medium (51-500 employees),Manager
Master,9,Ecommerce,Problem Solving,Finance / Banking,San Francisco,"$50,000 - $70,000",Contract,Enterprise (10000+ employees),Consultant
Bachelor,1,Finance,Problem Solving,Finance / Banking,London,"$90,000 - $110,000",Full-time,Enterprise (10000+ employees),Analyst
High School,16,Media,Machine Learning,Finance / Banking,London,"$130,000 - $150,000",Full-time,Large (501-10000 employees),Administrator
Bachelor,6,Recruitment,SQL,Industrial Products / Heavy Machinery,London,"$130,000 - $150,000",Contract,Enterprise (10000+ employees),Administrator
PhD,10,IT,Python,Healthcare / Medical Services,Tokyo,"$70,000 - $90,000",Full-time,Enterprise (10000+ employees),Developer
High School,6,Media,JavaScript,Industrial Products / Heavy Machinery,New York,"$50,000 - $70,000",Full-time,Small (1-50 employees),Administrator
PhD,15,Industrial,Problem Solving,Internet / Ecommerce,Paris,"$110,000 - $130,000",Full-time,Enterprise (10000+ employees),Manager
PhD,13,Retail,SQL,Finance / Banking,New York,"$90,000 - $110,000",Full-time,Large (501-10000 employees),Designer
High School,16,Education,Python,IT-Software / Software Services,San Francisco,"$110,000 - $130,000",Remote,Small (1-50 employees),Developer
Bachelor,5,Finance,Machine Learning,IT-Software / Software Services,Berlin,"$110,000 - $130,000",Full-time,Large (501-10000 employees),Developer
Master,16,Healthcare,Java,Media / Entertainment / Internet,Sydney,"$50,000 - $70,000",Remote,Medium (51-500 employees),Engineer
Master,17,Hospitality,Python,Internet / Ecommerce,Singapore,"$70,000 - $90,000",Remote,Medium (51-500 employees),Analyst
High School,17,Media,Communication,IT-Software / Software Services,Berlin,"$70,000 - $90,000",Remote,Large (501-10000 employees),Manager
Bachelor,3,Retail,Problem Solving,Industrial Products / Heavy Machinery,Singapore,"$110,000 - $130,000",Full-time,Large (501-10000 employees),Analyst
Master,19,Media,Communication,Industrial Products / Heavy Machinery,Tokyo,"$70,000 - $90,000",Full-time,Enterprise (10000+ employees),Engineer
PhD,8,Retail,Communication,Internet / Ecommerce,Singapore,"$90,000 - $110,000",Remote,Large (501-10000 employees),Manager
PhD,16,IT,Data Analysis,Education / Teaching,Singapore,"$130,000 - $150,000",Full-time,Large (501-10000 employees),Designer
High School,11,Ecommerce,HTML/CSS,Education / Teaching,Tokyo,"$70,000 - $90,000",Part-time,Small (1-50 employees),Designer
High School,8,Finance,Python,Education / Teaching,London,"$90,000 - $110,000",Remote,Large (501-10000 employees),Designer
Bachelor,14,Education,C++,Hospitality / Tourism,Toronto,"$70,000 - $90,000",Contract,Medium (51-500 employees),Engineer
PhD,13,Healthcare,SQL,Industrial Products / Heavy Machinery,Berlin,"$90,000 - $110,000",Part-time,Enterprise (10000+ employees),Analyst
PhD,17,Finance,Problem Solving,Recruitment / Staffing,Paris,"$110,000 - $130,000",Full-time,Medium (51-500 employees),Administrator
High School,16,IT,SQL,Media / Entertainment / Internet,Toronto,"$90,000 - $110,000",Full-time,Medium (51-500 employees),Administrator
High School,10,IT,Problem Solving,Hospitality / Tourism,New York,"$50,000 - $70,000",Full-time,Medium (51-500 employees),Analyst
PhD,14,Hospitality,Machine Learning,Education / Teaching,Singapore,"$90,000 - $110,000",Remote,Small (1-50 employees),Analyst
PhD,6,Education,Data Analysis,Media / Entertainment / Internet,Paris,"$50,000 - $70,000",Contract,Medium (51-500 employees),Engineer
High School,8,Retail,SQL,Healthcare / Medical Services,Tokyo,"$110,000 - $130,000",Part-time,Medium (51-500 employees),Consultant
PhD,8,Industrial,Python,Finance / Banking,Sydney,"$90,000 - $110,000",Part-time,Large (501-10000 employees),Manager
Bachelor,16,IT,Machine Learning,Hospitality / Tourism,New York,"$110,000 - $130,000",Remote,Large (501-10000 employees),Developer
High School,15,Recruitment,SQL,Media / Entertainment / Internet,Sydney,"$110,000 - $130,000",Contract,Small (1-50 employees),Consultant
PhD,13,Finance,Java,Retail / Wholesale,Shanghai,"$70,000 - $90,000",Part-time,Small (1-50 employees),Developer
Master,7,Hospitality,SQL,Media / Entertainment / Internet,Tokyo,"$90,000 - $110,000",Part-time,Medium (51-500 employees),Consultant
High School,18,Retail,C++,Retail / Wholesale,Paris,"$50,000 - $70,000",Full-time,Large (501-10000 employees),Manager
High School,19,Healthcare,Python,Healthcare / Medical Services,Tokyo,"$90,000 - $110,000",Part-time,Enterprise (10000+ employees),Designer
PhD,19,Education,Data Analysis,Finance / Banking,Paris,"$110,000 - $130,000",Contract,Enterprise (10000+ employees),Developer
PhD,17,Finance,JavaScript,Internet / Ecommerce,San Francisco,"$110,000 - $130,000",Part-time,Enterprise (10000+ employees),Consultant
PhD,15,Retail,Problem Solving,IT-Software / Software Services,Sydney,"$90,000 - $110,000",Full-time,Large (501-10000 employees),Manager
PhD,17,Finance,C++,Education / Teaching,San Francisco,"$70,000 - $90,000",Contract,Medium (51-500 employees),Consultant
PhD,5,Ecommerce,HTML/CSS,Education / Teaching,Tokyo,"$70,000 - $90,000",Contract,Enterprise (10000+ employees),Designer
Master,8,Education,SQL,Industrial Products / Heavy Machinery,Paris,"$50,000 - $70,000",Remote,Medium (51-500 employees),Engineer
Bachelor,1,Healthcare,SQL,Recruitment / Staffing,Paris,"$50,000 - $70,000",Full-time,Small (1-50 employees),Designer
High School,16,IT,SQL,Media / Entertainment / Internet,London,"$70,000 - $90,000",Contract,Large (501-10000 employees),Developer
PhD,7,Education,Python,Healthcare / Medical Services,Shanghai,"$90,000 - $110,000",Contract,Small (1-50 employees),Consultant
Bachelor,14,Retail,Data Analysis,Media / Entertainment / Internet,Toronto,"$90,000 - $110,000",Contract,Medium (51-500 employees),Administrator
Bachelor,15,Ecommerce,Problem Solving,Industrial Products / Heavy Machinery,Shanghai,"$130,000 - $150,000",Contract,Small (1-50 employees),Designer
Master,15,Healthcare,Problem Solving,Healthcare / Medical Services,Singapore,"$90,000 - $110,000",Remote,Enterprise (10000+ employees),Analyst
Bachelor,7,IT,Data Analysis,Finance / Banking,Singapore,"$50,000 - $70,000",Full-time,Medium (51-500 employees),Consultant
High School,1,Industrial,SQL,Retail / Wholesale,London,"$130,000 - $150,000",Full-time,Enterprise (10000+ employees),Developer
Bachelor,4,Industrial,JavaScript,IT-Software / Software Services,Paris,"$90,000 - $110,000",Contract,Large (501-10000 employees),Engineer
PhD,2,Retail,Python,Finance / Banking,London,"$50,000 - $70,000",Remote,Medium (51-500 employees),Administrator
High School,14,Finance,C++,IT-Software / Software Services,San Francisco,"$130,000 - $150,000",Remote,Large (501-10000 employees),Engineer
Bachelor,17,Recruitment,SQL,Media / Entertainment / Internet,Shanghai,"$70,000 - $90,000",Contract,Enterprise (10000+ employees),Analyst
Master,11,Education,Python,Healthcare / Medical Services,Shanghai,"$90,000 - $110,000",Contract,Enterprise (10000+ employees),Manager
PhD,15,Media,Machine Learning,Media / Entertainment / Internet,Shanghai,"$50,000 - $70,000",Full-time,Medium (51-500 employees),Manager
High School,10,Education,Problem Solving,Internet / Ecommerce,Sydney,"$70,000 - $90,000",Contract,Large (501-10000 employees),Developer
Master,8,Media,HTML/CSS,Hospitality / Tourism,New York,"$90,000 - $110,000",Remote,Enterprise (10000+ employees),Designer
High School,13,Retail,Python,Hospitality / Tourism,San Francisco,"$110,000 - $130,000",Remote,Small (1-50 employees),Manager
High School,9,Healthcare,Python,Retail / Wholesale,New York,"$110,000 - $130,000",Remote,Large (501-10000 employees),Consultant
High School,10,Recruitment,Communication,Media / Entertainment / Internet,Toronto,"$70,000 - $90,000",Contract,Large (501-10000 employees),Designer
PhD,6,Media,Problem Solving,Healthcare / Medical Services,Shanghai,"$50,000 - $70,000",Contract,Medium (51-500 employees),Designer
Master,4,Recruitment,Communication,Healthcare / Medical Services,New York,"$90,000 - $110,000",Full-time,Small (1-50 employees),Designer
Bachelor,15,IT,Machine Learning,Media / Entertainment / Internet,Singapore,"$90,000 - $110,000",Full-time,Large (501-10000 employees),Manager
High School,5,Recruitment,Data Analysis,Media / Entertainment / Internet,Sydney,"$70,000 - $90,000",Part-time,Medium (51-500 employees),Engineer
Bachelor,2,Finance,Java,Media / Entertainment / Internet,Singapore,"$50,000 - $70,000",Contract,Enterprise (10000+ employees),Designer
Bachelor,15,Education,Machine Learning,Hospitality / Tourism,London,"$70,000 - $90,000",Part-time,Medium (51-500 employees),Designer
Master,16,IT,Java,IT-Software / Software Services,Toronto,"$110,000 - $130,000",Part-time,Small (1-50 employees),Manager
High School,6,Recruitment,C++,Internet / Ecommerce,Paris,"$130,000 - $150,000",Full-time,Small (1-50 employees),Engineer
High School,9,Recruitment,Problem Solving,Industrial Products / Heavy Machinery,Berlin,"$130,000 - $150,000",Part-time,Small (1-50 employees),Engineer
High School,5,Education,Communication,IT-Software / Software Services,Tokyo,"$90,000 - $110,000",Full-time,Small (1-50 employees),Analyst
High School,16,Healthcare,Data Analysis,Internet / Ecommerce,New York,"$110,000 - $130,000",Part-time,Large (501-10000 employees),Analyst
High School,14,Finance,Java,Media / Entertainment / Internet,New York,"$70,000 - $90,000",Full-time,Large (501-10000 employees),Developer
Master,1,Media,SQL,Media / Entertainment / Internet,Sydney,"$110,000 - $130,000",Remote,Large (501-10000 employees),Developer
High School,5,Hospitality,Problem Solving,Media / Entertainment / Internet,Berlin,"$50,000 - $70,000",Part-time,Enterprise (10000+ employees),Analyst
High School,2,Finance,Machine Learning,Healthcare / Medical Services,Toronto,"$50,000 - $70,000",Part-time,Medium (51-500 employees),Consultant
PhD,18,Retail,Data Analysis,Retail / Wholesale,Toronto,"$90,000 - $110,000",Part-time,Small (1-50 employees),Designer
High School,5,Education,Python,Finance / Banking,Toronto,"$70,000 - $90,000",Contract,Medium (51-500 employees),Manager
High School,1,Retail,Python,Hospitality / Tourism,New York,"$130,000 - $150,000",Full-time,Small (1-50 employees),Consultant
High School,7,Ecommerce,Machine Learning,Finance / Banking,Tokyo,"$50,000 - $70,000",Remote,Large (501-10000 employees),Administrator
PhD,19,Recruitment,HTML/CSS,Education / Teaching,Paris,"$130,000 - $150,000",Remote,Enterprise (10000+ employees),Designer
Bachelor,9,Hospitality,C++,IT-Software / Software Services,Berlin,"$50,000 - $70,000",Remote,Small (1-50 employees),Consultant
High School,11,Retail,Data Analysis,Internet / Ecommerce,New York,"$50,000 - $70,000",Contract,Enterprise (10000+ employees),Designer
Master,18,Media,Data Analysis,Healthcare / Medical Services,Singapore,"$110,000 - $130,000",Contract,Medium (51-500 employees),Designer
PhD,6,Education,Communication,Hospitality / Tourism,Tokyo,"$70,000 - $90,000",Full-time,Medium (51-500 employees),Developer
Bachelor,18,Hospitality,Machine Learning,Healthcare / Medical Services,New York,"$110,000 - $130,000",Part-time,Enterprise (10000+ employees),Consultant
High School,7,Recruitment,Data Analysis,Healthcare / Medical Services,London,"$90,000 - $110,000",Part-time,Enterprise (10000+ employees),Consultant
High School,1,Recruitment,JavaScript,Industrial Products / Heavy Machinery,London,"$90,000 - $110,000",Part-time,Medium (51-500 employees),Administrator
PhD,19,Ecommerce,Communication,Retail / Wholesale,Paris,"$130,000 - $150,000",Full-time,Medium (51-500 employees),Designer
High School,5,Media,HTML/CSS,Media / Entertainment / Internet,New York,"$110,000 - $130,000",Part-time,Enterprise (10000+ employees),Designer
Master,18,IT,Python,Industrial Products / Heavy Machinery,Shanghai,"$70,000 - $90,000",Part-time,Large (501-10000 employees),Administrator
Bachelor,17,IT,HTML/CSS,IT-Software / Software Services,Sydney,"$50,000 - $70,000",Full-time,Enterprise (10000+ employees),Consultant
Bachelor,14,IT,HTML/CSS,Hospitality / Tourism,Paris,"$90,000 - $110,000",Part-time,Enterprise (10000+ employees),Engineer
Master,17,Ecommerce,Java,Retail / Wholesale,Berlin,"$110,000 - $130,000",Contract,Large (501-10000 employees),Engineer
PhD,6,Education,Python,Media / Entertainment / Internet,Toronto,"$70,000 - $90,000",Contract,Enterprise (10000+ employees),Engineer
PhD,19,Recruitment,Communication,Recruitment / Staffing,Shanghai,"$50,000 - $70,000",Remote,Enterprise (10000+ employees),Manager
Master,17,Recruitment,Java,Media / Entertainment / Internet,Paris,"$110,000 - $130,000",Full-time,Enterprise (10000+ employees),Developer
Bachelor,3,Ecommerce,Python,Retail / Wholesale,Sydney,"$130,000 - $150,000",Contract,Enterprise (10000+ employees),Designer
PhD,16,Hospitality,JavaScript,IT-Software / Software Services,Paris,"$110,000 - $130,000",Contract,Medium (51-500 employees),Consultant
Master,12,Industrial,SQL,IT-Software / Software Services,San Francisco,"$50,000 - $70,000",Contract,Small (1-50 employees),Developer
PhD,10,Industrial,JavaScript,Industrial Products / Heavy Machinery,New York,"$90,000 - $110,000",Remote,Medium (51-500 employees),Analyst
Master,19,Retail,C++,Hospitality / Tourism,London,"$130,000 - $150,000",Full-time,Small (1-50 employees),Developer
PhD,5,Finance,JavaScript,Media / Entertainment / Internet,Singapore,"$130,000 - $150,000",Remote,Small (1-50 employees),Consultant
Master,1,Hospitality,Data Analysis,Internet / Ecommerce,London,"$90,000 - $110,000",Full-time,Large (501-10000 employees),Developer
Bachelor,19,Healthcare,Problem Solving,Finance / Banking,Shanghai,"$130,000 - $150,000",Remote,Enterprise (10000+ employees),Designer
Bachelor,6,Ecommerce,Communication,Education / Teaching,Toronto,"$70,000 - $90,000",Remote,Large (501-10000 employees),Consultant
High School,10,Finance,Machine Learning,Media / Entertainment / Internet,Tokyo,"$110,000 - $130,000",Remote,Enterprise (10000+ employees),Consultant
Bachelor,12,Retail,SQL,Media / Entertainment / Internet,Tokyo,"$70,000 - $90,000",Contract,Medium (51-500 employees),Administrator
Bachelor,16,Industrial,JavaScript,Hospitality / Tourism,San Francisco,"$110,000 - $130,000",Part-time,Small (1-50 employees),Developer
PhD,9,Media,C++,IT-Software / Software Services,Tokyo,"$130,000 - $150,000",Contract,Medium (51-500 employees),Manager
Master,9,IT,HTML/CSS,Education / Teaching,Paris,"$50,000 - $70,000",Remote,Enterprise (10000+ employees),Consultant
High School,16,Industrial,SQL,Education / Teaching,Tokyo,"$110,000 - $130,000",Full-time,Large (501-10000 employees),Administrator
High School,8,Media,Python,Hospitality / Tourism,Berlin,"$110,000 - $130,000",Part-time,Large (501-10000 employees),Developer
PhD,3,Industrial,Problem Solving,Retail / Wholesale,London,"$90,000 - $110,000",Contract,Large (501-10000 employees),Manager
Bachelor,6,Hospitality,Java,Internet / Ecommerce,Singapore,"$90,000 - $110,000",Contract,Small (1-50 employees),Engineer
PhD,11,IT,C++,Finance / Banking,San Francisco,"$110,000 - $130,000",Part-time,Medium (51-500 employees),Manager
High School,16,Industrial,Python,Education / Teaching,Tokyo,"$70,000 - $90,000",Contract,Medium (51-500 employees),Manager
Master,5,Finance,SQL,Internet / Ecommerce,San Francisco,"$130,000 - $150,000",Part-time,Medium (51-500 employees),Designer
PhD,16,Recruitment,Python,Media / Entertainment / Internet,San Francisco,"$70,000 - $90,000",Part-time,Small (1-50 employees),Developer
PhD,3,Hospitality,Python,Healthcare / Medical Services,New York,"$70,000 - $90,000",Part-time,Enterprise (10000+ employees),Manager
PhD,9,Education,Java,Industrial Products / Heavy Machinery,Shanghai,"$50,000 - $70,000",Remote,Medium (51-500 employees),Administrator
Master,9,Retail,Python,Retail / Wholesale,London,"$110,000 - $130,000",Remote,Enterprise (10000+ employees),Consultant
PhD,12,Recruitment,Machine Learning,Education / Teaching,London,"$130,000 - $150,000",Full-time,Medium (51-500 employees),Administrator
Master,10,Recruitment,SQL,IT-Software / Software Services,Singapore,"$50,000 - $70,000",Part-time,Enterprise (10000+ employees),Manager
High School,5,Ecommerce,Java,Retail / Wholesale,London,"$130,000 - $150,000",Contract,Medium (51-500 employees),Consultant
High School,2,Healthcare,Communication,Finance / Banking,San Francisco,"$90,000 - $110,000",Contract,Large (501-10000 employees),Manager
Bachelor,11,Recruitment,Machine Learning,Healthcare / Medical Services,Paris,"$70,000 - $90,000",Remote,Large (501-10000 employees),Engineer
High School,13,Finance,C++,Education / Teaching,Paris,"$50,000 - $70,000",Part-time,Enterprise (10000+ employees),Developer
High School,4,Industrial,Python,Retail / Wholesale,Berlin,"$110,000 - $130,000",Part-time,Large (501-10000 employees),Administrator
High School,19,Ecommerce,Machine Learning,IT-Software / Software Services,Paris,"$130,000 - $150,000",Full-time,Small (1-50 employees),Administrator
PhD,8,Retail,Problem Solving,Internet / Ecommerce,Shanghai,"$110,000 - $130,000",Full-time,Enterprise (10000+ employees),Administrator
High School,12,Healthcare,Python,Education / Teaching,Paris,"$50,000 - $70,000",Remote,Large (501-10000 employees),Engineer
PhD,2,IT,JavaScript,Education / Teaching,Toronto,"$90,000 - $110,000",Part-time,Medium (51-500 employees),Engineer
Master,13,Hospitality,HTML/CSS,Hospitality / Tourism,Shanghai,"$70,000 - $90,000",Part-time,Large (501-10000 employees),Manager
PhD,12,IT,JavaScript,Retail / Wholesale,Tokyo,"$110,000 - $130,000",Contract,Enterprise (10000+ employees),Designer
High School,3,Healthcare,Data Analysis,Healthcare / Medical Services,Tokyo,"$130,000 - $150,000",Contract,Large (501-10000 employees),Developer
Master,18,Industrial,Communication,Hospitality / Tourism,New York,"$90,000 - $110,000",Contract,Enterprise (10000+ employees),Designer
PhD,17,Industrial,Data Analysis,Recruitment / Staffing,Sydney,"$50,000 - $70,000",Contract,Medium (51-500 employees),Engineer
High School,12,Media,Java,IT-Software / Software Services,Berlin,"$50,000 - $70,000",Part-time,Medium (51-500 employees),Consultant
Bachelor,5,Finance,HTML/CSS,Recruitment / Staffing,Shanghai,"$110,000 - $130,000",Full-time,Medium (51-500 employees),Designer
Master,17,Industrial,Problem Solving,IT-Software / Software Services,London,"$70,000 - $90,000",Contract,Enterprise (10000+ employees),Manager
High School,14,Recruitment,Java,Healthcare / Medical Services,Shanghai,"$130,000 - $150,000",Contract,Large (501-10000 employees),Consultant
Bachelor,11,Healthcare,SQL,Education / Teaching,Paris,"$70,000 - $90,000",Full-time,Small (1-50 employees),Engineer
High School,11,Media,HTML/CSS,Hospitality / Tourism,Tokyo,"$130,000 - $150,000",Remote,Enterprise (10000+ employees),Administrator
Bachelor,2,Ecommerce,HTML/CSS,Finance / Banking,San Francisco,"$130,000 - $150,000",Contract,Medium (51-500 employees),Manager
PhD,16,Education,Machine Learning,Healthcare / Medical Services,Toronto,"$110,000 - $130,000",Remote,Small (1-50 employees),Analyst
Master,11,Education,C++,Media / Entertainment / Internet,Sydney,"$130,000 - $150,000",Part-time,Medium (51-500 employees),Engineer
Bachelor,17,Healthcare,Problem Solving,Industrial Products / Heavy Machinery,Shanghai,"$130,000 - $150,000",Contract,Small (1-50 employees),Manager
PhD,1,IT,C++,Healthcare / Medical Services,Berlin,"$110,000 - $130,000",Remote,Enterprise (10000+ employees),Manager
PhD,4,Hospitality,SQL,Finance / Banking,Berlin,"$50,000 - $70,000",Full-time,Medium (51-500 employees),Manager
PhD,2,Retail,C++,Industrial Products / Heavy Machinery,Paris,"$110,000 - $130,000",Full-time,Large (501-10000 employees),Engineer
PhD,1,Finance,Python,Retail / Wholesale,Tokyo,"$90,000 - $110,000",Remote,Enterprise (10000+ employees),Consultant
PhD,4,Retail,Python,Finance / Banking,Singapore,"$110,000 - $130,000",Remote,Large (501-10000 employees),Consultant
High School,14,Education,JavaScript,Education / Teaching,San Francisco,"$90,000 - $110,000",Contract,Medium (51-500 employees),Administrator
High School,13,Industrial,Java,Industrial Products / Heavy Machinery,Paris,"$70,000 - $90,000",Contract,Small (1-50 employees),Administrator
Bachelor,19,Healthcare,Communication,Media / Entertainment / Internet,New York,"$90,000 - $110,000",Contract,Small (1-50 employees),Engineer
PhD,5,Education,HTML/CSS,Retail / Wholesale,Paris,"$90,000 - $110,000",Part-time,Large (501-10000 employees),Administrator
PhD,5,Healthcare,Machine Learning,Internet / Ecommerce,New York,"$50,000 - $70,000",Contract,Large (501-10000 employees),Developer
Master,10,Healthcare,Python,Internet / Ecommerce,Singapore,"$90,000 - $110,000",Part-time,Large (501-10000 employees),Developer
Bachelor,15,Finance,SQL,Internet / Ecommerce,San Francisco,"$110,000 - $130,000",Contract,Large (501-10000 employees),Manager
High School,12,Industrial,Communication,IT-Software / Software Services,Shanghai,"$70,000 - $90,000",Remote,Small (1-50 employees),Analyst
Bachelor,11,Recruitment,HTML/CSS,Retail / Wholesale,San Francisco,"$50,000 - $70,000",Part-time,Enterprise (10000+ employees),Manager
Master,14,Education,C++,Education / Teaching,San Francisco,"$110,000 - $130,000",Remote,Medium (51-500 employees),Engineer
PhD,9,Hospitality,Data Analysis,IT-Software / Software Services,New York,"$50,000 - $70,000",Remote,Medium (51-500 employees),Designer
Bachelor,1,Healthcare,C++,Media / Entertainment / Internet,Singapore,"$50,000 - $70,000",Full-time,Enterprise (10000+ employees),Consultant
High School,17,Retail,Machine Learning,Industrial Products / Heavy Machinery,Singapore,"$70,000 - $90,000",Contract,Large (501-10000 employees),Administrator
High School,7,Ecommerce,Communication,Finance / Banking,Paris,"$110,000 - $130,000",Contract,Large (501-10000 employees),Analyst
High School,14,Healthcare,HTML/CSS,Internet / Ecommerce,Tokyo,"$130,000 - $150,000",Full-time,Medium (51-500 employees),Manager
Bachelor,16,Media,Machine Learning,Media / Entertainment / Internet,New York,"$70,000 - $90,000",Part-time,Enterprise (10000+ employees),Consultant
PhD,18,Retail,HTML/CSS,Industrial Products / Heavy Machinery,Shanghai,"$50,000 - $70,000",Remote,Small (1-50 employees),Designer
PhD,19,Hospitality,Communication,IT-Software / Software Services,Toronto,"$90,000 - $110,000",Contract,Medium (51-500 employees),Designer
Master,7,Ecommerce,JavaScript,Retail / Wholesale,Berlin,"$50,000 - $70,000",Contract,Small (1-50 employees),Consultant
Master,2,Recruitment,Communication,Industrial Products / Heavy Machinery,Tokyo,"$70,000 - $90,000",Part-time,Small (1-50 employees),Manager
PhD,3,Healthcare,Python,Industrial Products / Heavy Machinery,London,"$110,000 - $130,000",Remote,Medium (51-500 employees),Manager
Master,11,IT,Java,Recruitment / Staffing,Sydney,"$110,000 - $130,000",Full-time,Medium (51-500 employees),Developer
PhD,4,Media,Python,Internet / Ecommerce,Sydney,"$70,000 - $90,000",Contract,Enterprise (10000+ employees),Designer
PhD,7,Retail,JavaScript,Education / Teaching,London,"$110,000 - $130,000",Contract,Medium (51-500 employees),Manager
High School,6,Retail,HTML/CSS,IT-Software / Software Services,Tokyo,"$110,000 - $130,000",Remote,Medium (51-500 employees),Analyst
PhD,15,Education,Java,Retail / Wholesale,New York,"$90,000 - $110,000",Contract,Medium (51-500 employees),Designer
Bachelor,14,Recruitment,Data Analysis,Recruitment / Staffing,Singapore,"$130,000 - $150,000",Part-time,Large (501-10000 employees),Administrator
Bachelor,19,Ecommerce,Communication,Recruitment / Staffing,San Francisco,"$110,000 - $130,000",Remote,Enterprise (10000+ employees),Designer
High School,14,Ecommerce,Problem Solving,Healthcare / Medical Services,Singapore,"$90,000 - $110,000",Full-time,Small (1-50 employees),Designer
PhD,19,Education,Data Analysis,Finance / Banking,Toronto,"$90,000 - $110,000",Full-time,Medium (51-500 employees),Manager
Master,19,Industrial,C++,Recruitment / Staffing,Tokyo,"$90,000 - $110,000",Contract,Large (501-10000 employees),Analyst
Master,9,Media,Java,Finance / Banking,Shanghai,"$130,000 - $150,000",Remote,Large (501-10000 employees),Developer
Bachelor,17,Hospitality,SQL,Industrial Products / Heavy Machinery,Berlin,"$130,000 - $150,000",Full-time,Small (1-50 employees),Developer
Bachelor,6,Retail,HTML/CSS,Internet / Ecommerce,San Francisco,"$50,000 - $70,000",Full-time,Enterprise (10000+ employees),Designer
Master,13,Education,HTML/CSS,Retail / Wholesale,New York,"$70,000 - $90,000",Part-time,Medium (51-500 employees),Manager
Bachelor,10,Ecommerce,Python,Industrial Products / Heavy Machinery,Berlin,"$70,000 - $90,000",Remote,Medium (51-500 employees),Engineer
Bachelor,10,Media,HTML/CSS,Retail / Wholesale,Paris,"$90,000 - $110,000",Contract,Small (1-50 employees),Engineer
High School,17,Retail,SQL,Recruitment / Staffing,Tokyo,"$50,000 - $70,000",Contract,Medium (51-500 employees),Manager
High School,18,IT,JavaScript,Recruitment / Staffing,New York,"$70,000 - $90,000",Full-time,Large (501-10000 employees),Engineer
Master,17,Retail,Data Analysis,Education / Teaching,Sydney,"$70,000 - $90,000",Full-time,Small (1-50 employees),Administrator
Master,10,Retail,JavaScript,Recruitment / Staffing,New York,"$90,000 - $110,000",Contract,Large (501-10000 employees),Engineer
Bachelor,5,Ecommerce,Python,Healthcare / Medical Services,London,"$50,000 - $70,000",Remote,Small (1-50 employees),Designer
Master,9,Media,Machine Learning,Hospitality / Tourism,New York,"$90,000 - $110,000",Part-time,Small (1-50 employees),Developer
Master,17,Recruitment,C++,IT-Software / Software Services,Tokyo,"$70,000 - $90,000",Full-time,Enterprise (10000+ employees),Manager
Bachelor,3,Industrial,HTML/CSS,IT-Software / Software Services,Toronto,"$110,000 - $130,000",Part-time,Enterprise (10000+ employees),Consultant
PhD,14,Industrial,Python,Finance / Banking,Shanghai,"$110,000 - $130,000",Remote,Small (1-50 employees),Designer
Bachelor,4,Ecommerce,Communication,Media / Entertainment / Internet,Toronto,"$90,000 - $110,000",Part-time,Small (1-50 employees),Manager
Master,7,Ecommerce,JavaScript,Finance / Banking,Shanghai,"$110,000 - $130,000",Part-time,Large (501-10000 employees),Designer
Bachelor,17,IT,Java,Recruitment / Staffing,Paris,"$90,000 - $110,000",Remote,Large (501-10000 employees),Manager
Bachelor,11,Hospitality,Data Analysis,Healthcare / Medical Services,Singapore,"$50,000 - $70,000",Part-time,Small (1-50 employees),Analyst
Master,11,Finance,Communication,Finance / Banking,Tokyo,"$110,000 - $130,000",Remote,Large (501-10000 employees),Administrator
Bachelor,4,IT,HTML/CSS,Industrial Products / Heavy Machinery,San Francisco,"$130,000 - $150,000",Remote,Small (1-50 employees),Administrator
PhD,3,Media,Machine Learning,Education / Teaching,New York,"$50,000 - $70,000",Full-time,Enterprise (10000+ employees),Manager
Master,15,Media,HTML/CSS,Industrial Products / Heavy Machinery,Berlin,"$90,000 - $110,000",Contract,Small (1-50 employees),Engineer
Bachelor,10,Industrial,JavaScript,Internet / Ecommerce,New York,"$90,000 - $110,000",Remote,Large (501-10000 employees),Manager
Master,6,IT,C++,IT-Software / Software Services,Berlin,"$110,000 - $130,000",Remote,Medium (51-500 employees),Manager
Bachelor,10,Finance,Communication,IT-Software / Software Services,Sydney,"$110,000 - $130,000",Contract,Medium (51-500 employees),Engineer
Bachelor,2,IT,HTML/CSS,Media / Entertainment / Internet,Singapore,"$70,000 - $90,000",Remote,Enterprise (10000+ employees),Administrator
Master,4,Ecommerce,Data Analysis,IT-Software / Software Services,Paris,"$70,000 - $90,000",Full-time,Medium (51-500 employees),Designer
PhD,12,Retail,Machine Learning,Education / Teaching,Singapore,"$50,000 - $70,000",Full-time,Large (501-10000 employees),Engineer
High School,14,Hospitality,Python,IT-Software / Software Services,Shanghai,"$110,000 - $130,000",Contract,Small (1-50 employees),Engineer
Master,11,Media,Python,Retail / Wholesale,San Francisco,"$130,000 - $150,000",Part-time,Enterprise (10000+ employees),Consultant
PhD,12,Healthcare,Problem Solving,Healthcare / Medical Services,Toronto,"$70,000 - $90,000",Remote,Small (1-50 employees),Manager
